id,name,code
0,가지볶음,D103001
1,간장게장,D160002
2,갈비구이,D082010
3,갈비찜,D072010
4,갈비탕,D053001
5,갈치구이,D081003
6,갈치조림,D111002
7,감자전,D093002
8,감자조림,D113002
9,감자채볶음,D103007
10,감자탕,D053002
11,갓김치,D140029
12,건새우볶음,D101002
13,경단,D230049
14,계란국,D051007
15,계란말이,D095001
16,계란찜,D074001
17,계란후라이,D095005
18,고등어구이,D081004
19,고등어조림,D111040
20,고사리나물,D103012
21,고추장진미채볶음,D101021
22,고추튀김,D123002
23,곰탕 설렁탕,D053020
24,곱창구이,D082001
25,곱창전골,D064001
26,과메기,D288005
27,김밥,D016004
28,김치볶음밥,D014001
29,김치전,D093005
30,김치찌개,D065003
31,김치찜,D072031
32,깍두기,D140030
33,깻잎장아찌,D170003
34,꼬막찜,D071006
35,꽁치조림,D111008
36,꽈리고추무침,D101010
37,꿀떡,D230005
38,나박김치,D140061
39,누룽지,D011007
40,닭갈비,D102003
41,닭계장,D053007
42,닭볶음탕,D112006
43,더덕구이,D083003
44,도라지무침,D135002
45,도토리묵,D132097
46,동그랑땡,D092010
47,동태찌개,D061016
48,된장찌개,D180086
49,두부김치,D103058
50,두부조림,D114014
51,땅콩조림,D114015
52,떡갈비,D082023
53,떡국_만두국,D032006
54,떡꼬치,D083006
55,떡볶이,D104016
56,라면,D031003
57,라볶이,D031057
58,막국수,D031004
59,매운탕,D061044
60,멍게,D151003
61,메추리알장조림,D112029
62,멸치볶음,D101007
63,무국,D051037
64,무생채,D140076
65,물냉면,D031005
66,물회,D151012
67,미역국,D051127
68,미역줄기볶음,D103030
69,배추김치,D140030
70,백김치,D140062
71,보쌈,D140033
72,부추김치,D140069
73,북엇국,D051102
74,불고기,D102033
75,비빔냉면,D031007
76,비빔밥,D014019
77,산낙지,D151002
78,삼겹살,D082009
79,삼계탕,D053018
80,새우볶음밥,D014080
81,새우튀김,D121026
82,생선전,D091005
83,소세지볶음,D102023
84,송편,D230064
85,수육,D072015
86,수정과,D203005
87,수제비,D031009
88,숙주나물,D132083
89,순대,D074003
90,순두부찌개,D065024
91,시금치나물,D132023
92,시래기국,D052035
93,식혜,D203006
94,알밥,D311040
95,애호박볶음,D103061
96,약과,D022034
97,약식,D012012
98,양념게장,D160002
99,양념치킨,D122013
100,어묵볶음,D101016
101,연근조림,D113011
102,열무국수,D031011
103,열무김치,D140057
104,오이소박이,D140064
105,오징어채볶음,D101023
106,오징어튀김,D121033
107,우엉조림,D113012
108,유부초밥,D016010
109,육개장,D053027
110,육회,D152002
111,잔치국수,D031050
112,잡곡밥,D012050
113,잡채,D105017
114,장어구이,D081032
115,장조림,D112023
116,전복죽,D040058
117,젓갈,D160007
118,제육볶음,D102038
119,조개구이,D081119
120,조기구이,D081058
121,족발,D072005
122,주꾸미볶음,D102122
123,주먹밥,D016006
124,짜장면,D031015
125,짬뽕,D031016
126,쫄면,D031017
127,찜닭,D072016
128,총각김치,D140051
129,추어탕,D053058
130,칼국수,D031058
131,코다리조림,D111038
132,콩국수,D031055
133,콩나물국,D051072
134,콩나물무침,D132063
135,콩자반,D114021
136,파김치,D140058
137,파전,D093036
138,편육,D072009
139,피자,D311052
140,한과,D022140
141,해물찜,D071042
142,호박전,D093039
143,호박죽,D040014
144,홍어무침,D133039
145,황태구이,D081023
146,회무침,D133039
147,후라이드치킨,D122003
148,훈제오리,D102148
